ID             Codón_CTG Tamaño  Frecuencia%
DEHA2G00110g   31         1458     2.1262%   
DEHA2A00110g   29         1408     2.0597%   
DEHA2G01276g   28         1408     1.9886%   
DEHA2C00099g   26         1398     1.8598%   
DEHA2F00110g   26         1384     1.8786%   
DEHA2B12787g   21         1496     1.4037%   
DEHA2C04752g   21         2984     0.7038%   
DEHA2D06061g   21         1496     1.4037%   
DEHA2D10604g   21         3432     0.6119%   
DEHA2G11539g   20         1490     1.3423%   
DEHA2C07458g   19         2662     0.7137%   
DEHA2C11594g   19         1678     1.1323%   
DEHA2G11297g   19         1488     1.2769%   
DEHA2E18810g   17         1969     0.8634%   
DEHA2G01738g   17         1630     1.0429%   
DEHA2A09218g   16         2802     0.5710%   
DEHA2B07854g   16         3073     0.5207%   
DEHA2D13200g   16         596      2.6846%   
DEHA2E18436g   16         1835     0.8719%   
DEHA2F25872g   16         1529     1.0464%   
DEHA2A02244g   15         1700     0.8824%   
DEHA2B02838g   15         2130     0.7042%   
DEHA2D03300g   15         1562     0.9603%   
DEHA2E05984g   15         472      3.1780%   
DEHA2E19382g   15         1282     1.1700%   
DEHA2F02904g   15         1557     0.9634%   
DEHA2B08800g   14         911      1.5368%   
DEHA2C16412g   14         840      1.6667%   
DEHA2F12452g   14         2595     0.5395%   
DEHA2C08998g   13         1661     0.7827%   
DEHA2E14432g   13         1187     1.0952%   
DEHA2E18766g   13         1256     1.0350%   
DEHA2F15466g   13         1526     0.8519%   
DEHA2F16522g   13         4189     0.3103%   
DEHA2F20592g   13         1043     1.2464%   
DEHA2G01408g   13         961      1.3528%   
DEHA2A01254g   12         1109     1.0821%   
DEHA2C04774g   12         487      2.4641%   
DEHA2C08778g   12         2042     0.5877%   
DEHA2C09570g   12         842      1.4252%   
DEHA2C17314g   12         1612     0.7444%   
DEHA2D04466g   12         1027     1.1685%   
DEHA2D09042g   12         1028     1.1673%   
DEHA2E09086g   12         1952     0.6148%   
DEHA2E12914g   12         418      2.8708%   
DEHA2F04312g   12         1204     0.9967%   
DEHA2F05258g   12         1776     0.6757%   
DEHA2F09130g   12         1302     0.9217%   
DEHA2F14806g   12         969      1.2384%   
DEHA2F15840g   12         1742     0.6889%   
